Year,Month,Day,sourceLatitude,sourceLongitude,SourceState,destinationLatitude,destinationLongitude,destinationState,distanceKM,taxiDurationMin,vehicleType,vehicleOption,weight,price
1996,2,6,32.34464,51.511222,3,34.09706,49.68607,20,307,233,2,0,10,4000000
1996,6,29,36.303504,59.601155,9,39.287764,44.454692,1,1784,1185,3,8,5,8800000
1996,6,23,28.931281,53.653534,15,29.87963,52.801554,15,197,158,0,0,12.84,4800000
1996,6,5,38.201512,44.761785,1,37.727247,46.942338,0,243,184,3,3,20,6200000
1996,1,30,35.584314,53.386463,13,30.243447,57.060477,25,931,624,3,2,24,6500000
1996,6,13,34.264938,46.805036,26,35.319168,46.369643,24,253,234,3,4,24.94,8380000
1996,2,3,35.698076,51.400025,7,34.097213,49.686601,20,280,201,1,1,2,2200000
1996,5,8,35.999229,49.442282,16,34.098354,49.691734,20,332,248,1,6,2,2900000
1996,1,3,29.773421,52.718544,15,28.961654,50.841238,6,321,267,1,8,1,1700000
1996,6,31,37.110624,58.512926,9,31.885037,54.36367,30,894,656,3,2,15,11400000
1996,2,21,36.124656,59.011136,9,36.282981,50.005893,16,939,629,2,0,10.25,5000000
1996,1,26,34.639728,50.886253,17,30.43101,49.106798,11,793,555,3,2,20,10000000
1996,3,20,32.325643,50.85564,23,35.696879,51.400268,7,548,350,3,2,22.24,9630000
1996,5,30,34.39749,47.449664,26,35.693948,51.395434,7,461,325,2,0,10.2,3300000
1996,3,12,34.648839,50.88085,17,31.886194,54.36692,30,491,318,3,3,20,4000000
1996,6,27,33.990077,50.68744,20,35.722986,50.370426,4,234,172,3,7,22,8000000
1996,1,31,35.931188,50.818047,4,36.277338,50.007038,16,88,70,0,3,15,2330000
1996,4,24,36.017046,53.049113,19,34.393095,45.475147,26,911,670,3,7,5,14500000
1996,2,13,32.406846,53.776196,30,36.210903,58.789021,9,882,617,3,4,24.5,11415000
1996,5,21,36.627942,53.214206,19,36.298962,59.60304,9,733,544,2,8,9.19,10000000
1996,5,3,34.403562,47.446904,26,34.543967,48.444133,22,106,79,1,8,2,1000000
1996,5,25,36.291158,59.600588,9,32.671216,51.668601,3,1167,779,1,5,2.5,3900000
1996,6,30,27.267568,54.474944,21,27.151638,57.076643,21,316,240,1,8,2,4000000
1996,4,22,38.552521,44.952162,1,34.319996,47.06671,26,674,576,1,6,2,5395000
1996,4,18,37.542618,45.065497,1,39.345434,45.069174,1,257,204,1,5,3,2550000
1996,5,30,29.613456,52.531597,15,32.866311,59.22215,8,1070,752,1,5,4,4300000
1996,4,20,34.912394,48.441341,22,36.204242,58.785434,9,1080,694,2,0,10.5,6600000
1996,5,5,35.165599,47.804674,24,34.079288,47.968949,18,219,187,0,3,14,2000000
1996,1,12,35.315072,47.00476,24,35.706255,51.405695,7,490,357,0,8,15,7420000
1996,5,4,36.696837,58.428981,9,36.292332,59.606341,9,156,127,2,3,10,2100000
1996,5,14,32.667346,51.664185,3,27.184368,56.282302,21,942,662,3,7,22.26,9639000
1996,3,28,35.707209,51.405438,7,33.983421,51.440427,3,247,173,0,0,10,3800000
1996,6,20,36.726441,53.814415,19,36.730076,53.962362,28,16,16,1,5,2,1000000
1996,3,18,30.58896,51.367662,27,31.894072,54.366105,30,482,394,2,5,3,3000000
1996,5,3,36.845409,54.425197,28,38.082215,46.288544,0,1029,735,0,0,15,9000000
1996,3,10,34.309513,50.540642,17,35.698038,51.403044,7,212,151,0,3,14.33,2683000
1996,5,9,38.194233,44.766084,1,34.323198,47.071166,26,631,540,0,0,9,6000000
1996,1,17,33.986701,50.689461,20,31.882279,54.369924,30,461,309,1,5,2,2450000
1996,5,10,33.893944,48.75604,18,33.411064,49.696569,18,123,103,1,8,2,750000
1996,2,17,36.099458,59.281883,9,36.294734,59.610042,9,106,94,0,3,14,1632000
1996,1,30,34.646037,50.880426,17,36.30035,59.607952,9,959,621,0,8,14,6000000
1996,5,18,31.32348,48.676113,11,35.274719,47.417415,24,639,512,1,6,2,4300000
1996,3,16,38.693212,45.185472,1,38.074701,46.291758,0,135,111,3,2,23,4134000
1996,4,25,38.071113,46.285056,0,36.356743,56.187436,13,1143,741,1,6,3,5730000
1996,3,30,30.364143,48.259585,11,35.70721,51.394595,7,952,675,1,5,1.5,3360000
1996,5,8,36.224089,50.185698,16,35.818175,51.012878,4,93,72,3,4,21,4170000
1996,5,30,34.646003,50.879493,17,33.130885,46.163702,5,688,541,3,7,10,13500000
1996,1,30,32.667741,51.662413,3,27.186067,56.282151,21,942,662,3,2,23.75,9826000
1996,3,4,37.232104,55.183768,28,36.572501,53.064323,19,228,193,2,0,10.14,2900000
1996,6,19,39.034369,48.076308,2,35.705527,51.395547,7,701,508,1,6,3,3700000
1996,2,26,30.00361,52.354613,15,35.704976,51.40774,7,883,615,1,5,3,2300000
1996,6,8,35.812195,51.007385,4,35.812195,51.007385,4,0,0,2,5,3,1800000
1996,5,6,37.132315,46.870439,0,37.391475,46.245166,0,100,99,1,6,2,1000000
1996,3,25,37.471614,57.326158,10,36.301115,59.609583,9,263,200,3,2,10,6290000
1996,2,26,36.301705,59.605959,9,31.892757,54.360823,30,921,639,2,0,10,4120000
1996,1,29,29.204156,52.687395,15,34.102092,49.697991,20,819,601,2,0,10,6500000
1996,3,7,32.013624,51.22168,23,31.327035,48.67589,11,410,355,1,6,3,2000000
1996,5,14,32.00213,54.201884,30,35.525521,46.179968,24,1062,752,3,7,22,19170000
1996,6,9,36.294548,59.610778,9,34.150978,58.637174,9,319,228,1,6,2.5,2100000
1996,3,12,32.381954,48.405368,11,34.097879,49.695354,20,398,303,1,6,4.5,3725000
1996,1,29,30.669691,51.581768,27,36.304085,59.611734,9,1300,938,0,0,7.5,13000000
1996,6,1,32.675563,51.661413,3,34.639105,50.884938,17,313,198,2,8,7.75,4735000
1996,6,5,32.802134,50.847562,3,34.541019,48.452696,22,390,297,0,0,15,4500000
1996,6,16,35.938121,50.811213,4,33.147447,47.707886,18,655,468,0,0,15,6900000
1996,2,8,35.696684,51.403988,7,34.320636,47.077715,26,504,365,3,3,22,8500000
1996,4,7,33.888999,50.569311,20,27.187176,56.279415,21,1130,756,3,2,20.7,9400000
1996,1,2,36.808601,50.877689,19,29.603752,52.538943,15,1171,870,1,6,4,7200000
1996,1,28,36.754473,51.039267,19,34.795009,48.510556,22,499,436,2,0,10,5746000
1996,4,25,34.318939,47.071593,26,34.275463,47.581683,26,54,51,1,5,2.4,964000
1996,5,18,38.081512,46.287074,0,37.279971,49.581137,29,492,396,1,1,2,3890000
1996,2,31,37.950087,46.588797,0,36.299874,59.60533,9,1492,962,2,0,8,7670000
1996,5,7,35.656991,51.062702,7,29.60248,52.541765,15,893,607,2,8,9,4500000
1996,4,2,32.763384,48.237326,11,34.644872,50.881117,17,483,356,1,6,3,2500000
1996,6,6,36.669559,48.489628,12,35.444823,51.569612,7,374,249,1,5,2,3360000
1996,4,7,30.239349,57.065822,25,36.294765,59.600602,9,919,643,3,4,23.6,10000000
1996,6,12,35.739617,51.901415,7,27.186978,56.28,21,1327,871,1,6,2.5,5500000
1996,5,14,36.416603,54.966174,13,36.845517,54.438189,28,133,148,2,0,10.5,2600000
1996,5,23,35.706297,51.397058,7,35.524785,46.176565,24,620,490,2,0,8,7908000
1996,2,10,35.341485,52.069667,13,32.670551,51.664873,3,481,295,2,0,5.5,4000000
1996,5,8,31.325358,48.677395,11,34.644217,50.883147,17,674,494,3,2,21,16476000
1996,5,3,36.673854,48.483311,12,36.146942,49.2146,12,107,76,3,7,23,3850000
1996,3,3,37.340146,46.053264,0,29.601523,52.535308,15,1358,936,1,8,4,7000000
1996,2,5,29.602135,52.531501,15,30.242968,57.061991,25,563,407,2,8,9,8650000
1996,6,13,33.548651,50.557013,3,36.286173,50.008715,16,372,254,2,8,2.2,4000000
1996,5,18,35.69916,51.404873,7,37.235984,55.188408,28,504,425,2,0,8.33,6397000
1996,5,11,35.752423,52.772131,7,38.069561,46.285868,0,766,510,3,2,25,16200000
1996,2,20,27.617982,53.000586,15,38.081543,46.290961,0,1734,1226,1,6,3,5540000
1996,2,28,32.798618,51.690826,3,29.607468,52.542895,15,500,355,1,6,2,1750000
1996,5,2,35.312036,46.992083,24,35.35249,46.672216,24,45,51,2,3,9,2100000
1996,5,10,29.613069,52.535677,15,30.617285,53.200639,15,183,141,1,6,2.5,1220000
1996,5,23,35.707256,51.406146,7,25.299131,60.653608,14,1807,1150,3,4,22,16500000
1996,4,25,32.672666,51.660365,3,34.545832,48.449635,22,433,341,3,2,22,9080000
1996,6,14,33.895557,48.751571,18,31.890364,54.368475,30,734,489,1,5,1.5,4800000
1996,4,27,32.321526,50.845946,23,35.813163,51.008881,4,583,368,1,6,2,2700000
1996,4,2,35.70102,51.402283,7,32.045159,48.854229,11,737,519,2,8,8,4800000
1996,3,31,37.242848,55.183343,28,35.703167,51.40158,7,503,426,1,6,3,2950000
1996,2,11,36.474977,59.75348,9,36.299461,59.601778,9,35,47,3,2,18,2540000
1996,5,31,35.694188,51.40277,7,30.402852,56.000593,25,870,551,1,6,3.5,4767000
1996,5,25,34.195312,48.378114,22,35.599122,51.44088,7,424,291,1,6,1.5,4000000
1996,4,26,28.760186,54.545793,15,27.622226,53.002661,15,325,272,3,2,24.84,5100000
1996,6,27,32.337398,51.508297,3,32.285382,50.969505,23,71,58,3,2,22.85,4522000
1996,3,16,35.716533,50.362543,4,35.705278,51.405163,7,101,105,1,5,3,2680000
1996,6,28,37.143501,46.106057,0,33.884591,45.632616,26,620,561,0,0,15,7000000
1996,5,12,37.233831,55.184018,28,37.379446,55.483463,28,39,37,1,8,1,600000
1996,5,24,36.071464,49.688583,16,37.002464,46.06082,1,438,318,1,6,3,4080000
1996,6,25,35.955517,50.602762,4,35.438436,51.565817,7,124,106,1,8,2,2090000
1996,3,1,29.627074,51.647613,15,36.297123,59.601066,9,1494,1046,2,0,10,15818000
1996,4,1,36.845738,54.434669,28,36.891295,54.074248,28,37,40,1,5,2,600000
1996,2,2,32.798365,50.856059,3,31.32032,48.678917,11,548,457,0,0,15,6508000
1996,2,30,36.180749,50.087142,16,31.327431,48.679523,11,860,601,2,0,10,7170000
1996,2,30,36.295223,59.608051,9,31.323578,48.676306,11,1643,1092,3,7,5,13550000
1996,1,15,27.406681,57.501895,25,32.668613,51.667355,3,1070,723,2,0,10.5,10500000
1996,3,18,36.124665,59.007873,9,29.599931,52.536616,15,1299,907,2,8,10,6500000
1996,1,16,34.512952,58.190024,9,36.21321,58.79365,9,254,221,1,5,1.8,1000000
1996,2,24,36.732616,53.965496,28,36.571518,53.063304,19,93,79,1,6,3,970000
1996,3,7,38.00183,46.478057,0,36.276654,50.005791,16,450,279,1,5,2.2,2780000
1996,2,31,28.964757,50.833526,6,31.319914,48.679992,11,434,315,1,6,2.7,3000000
1996,3,4,32.256985,54.014262,30,33.994312,51.437269,3,335,223,3,2,17.2,8510000
1996,4,14,34.352974,58.686391,9,35.70182,51.39627,7,924,631,2,8,10,8000000
1996,5,10,27.470464,52.605327,6,35.599973,51.44838,7,1283,886,2,0,10,12500000
1996,5,10,32.248284,54.016951,30,30.403527,55.993372,25,301,203,3,2,25,5500000
1996,4,25,34.636712,50.873542,17,36.470441,52.346824,19,324,289,2,8,7.93,4500000
1996,5,23,35.237806,60.632526,9,36.277085,50.002279,16,1144,774,2,0,10,13000000
1996,3,11,38.080916,46.295582,0,36.276872,50.002323,16,471,301,2,0,10,4750000
1996,3,22,37.426127,49.236941,29,31.881645,54.367777,30,929,635,0,0,15,4850000
1996,5,17,29.608744,52.539887,15,27.193414,54.356542,21,463,352,1,6,2.2,2160000
1996,5,9,34.645993,50.873039,17,36.275669,50.001126,16,236,183,1,5,2,3000000
1996,3,29,33.121332,51.51215,3,35.696119,51.396015,7,393,249,1,6,2.5,1540000
1996,2,25,28.607202,59.088668,25,35.697859,51.399062,7,1259,811,1,6,3.77,6233000
1996,4,28,33.500624,49.052299,18,32.862185,53.08813,3,453,333,0,0,15,2500000
1996,6,26,35.701027,51.401251,7,34.019444,58.170974,8,938,643,3,2,22,10000000
1996,3,23,30.265834,51.984868,15,29.60555,52.540387,15,97,97,1,6,2,750000
1996,2,19,36.292478,59.612663,9,36.286113,50.012098,16,1054,712,1,1,1,4700000
1996,4,26,35.582575,53.389098,13,36.468875,52.34569,19,225,204,2,3,10,1800000
1996,2,14,37.231004,55.185161,28,29.60208,52.531881,15,1200,875,1,6,3,5000000
1996,2,26,29.574216,51.344836,15,32.667671,51.663469,3,519,427,1,6,3.54,3160000
1996,3,27,34.637879,50.881706,17,35.699187,51.403371,7,149,115,3,7,12.5,4675000
1996,6,5,30.664573,51.589268,27,30.324949,50.900033,27,149,131,1,8,2.5,2000000
1996,2,21,35.701833,51.404003,7,34.793782,48.509333,22,321,224,0,0,5,3900000
1996,5,19,33.993397,50.684323,20,37.472962,57.327282,10,906,614,0,0,15,10800000
1996,2,25,25.29638,60.653228,14,35.702197,51.399424,7,1813,1169,3,4,14.92,22000000
1996,5,9,35.018906,50.358062,20,37.282478,49.58659,29,329,262,3,7,20,7660000
1996,6,8,35.016645,50.361165,20,38.076679,46.29329,0,585,404,3,7,15,8484000
1996,2,30,29.448934,55.675312,25,30.237485,57.060887,25,184,130,2,0,4.5,3500000
1996,5,31,35.697301,51.407604,7,29.600531,52.540522,15,931,614,1,6,2.29,5600000
1996,6,27,37.943987,46.58197,0,37.060936,47.148433,0,158,110,2,3,3,1300000
1996,1,24,35.306981,50.505794,20,35.694957,51.405811,7,109,93,3,2,22.4,4301000
1996,4,3,32.676226,51.665297,3,26.764763,55.900758,21,993,745,3,2,24,12082000
1996,1,27,32.668882,51.668191,3,36.215619,58.787152,9,1022,677,2,0,10,4872000
1996,6,22,30.237192,57.066611,25,36.303725,59.610755,9,919,643,2,5,6.53,6710000
1996,5,30,29.619901,51.655172,15,33.48943,48.356685,18,723,566,1,6,4.5,4450000
1996,4,26,38.189474,45.578398,0,35.807431,51.003222,4,669,424,2,0,5.5,3800000
1996,3,27,32.27433,50.96999,23,32.676293,51.665624,3,93,75,1,8,2,900000
1996,3,8,32.674094,51.669446,3,38.071559,46.289419,0,899,605,3,7,22,14700000
1996,4,8,36.130722,59.005791,9,34.792114,48.520719,22,1098,701,0,8,12,6500000
1996,5,31,36.303151,59.60027,9,32.376512,48.400874,11,1500,989,1,6,4,7000000
1996,1,31,28.962872,50.841812,6,35.695936,51.39816,7,1046,765,3,4,24.03,20333000
1996,4,1,29.443859,55.668062,25,30.24593,57.068645,25,184,130,2,0,10.02,3150000
1996,4,17,36.653172,53.299485,19,36.727977,53.808356,19,51,44,0,3,15,1650000
1996,1,29,25.137033,61.190173,14,32.675639,51.664616,3,1570,1045,0,8,14,21000000
1996,4,18,27.185383,56.274307,21,26.771171,55.88985,21,119,129,1,5,1.12,1500000
1996,1,6,36.47622,52.343555,19,36.276975,50.003032,16,327,298,1,8,3,3300000
1996,6,21,36.814801,50.885181,19,36.422574,54.960112,13,467,415,1,5,3,4500000
1996,5,10,32.66404,51.658536,3,34.644979,50.881795,17,313,198,2,0,10,4501000
1996,6,1,33.483725,48.354508,18,32.677296,51.659309,3,385,307,0,0,15,4600000
1996,3,21,31.887789,54.364636,30,36.281451,50.012433,16,722,480,2,0,10,8190000
1996,3,9,31.884382,54.362971,30,32.66837,51.664576,3,322,226,1,6,3,2400000
1996,6,22,36.569254,51.962163,19,35.705907,51.394876,7,226,238,0,0,8,6910000
1996,5,22,35.704776,51.396073,7,33.952444,51.340091,3,238,155,1,6,4,3400000
1996,3,3,32.461503,48.351661,11,34.318312,47.075868,26,341,284,0,3,13.79,6623000
1996,6,6,35.704134,51.398085,7,34.637025,50.876457,17,148,113,3,4,22,5500000
1996,5,3,29.613098,52.54437,15,32.86966,59.21345,8,1070,752,2,0,10,9180000
1996,6,25,35.696163,51.404876,7,36.287238,50.013034,16,150,123,0,0,2,2300000
1996,5,21,28.933516,53.656664,15,27.436315,53.513876,15,357,283,1,8,2.5,2400000
1996,5,2,34.793954,48.5204,22,33.142513,47.377937,5,421,352,1,5,3,2600000
1996,6,28,37.550312,45.066219,1,36.695076,45.13615,1,133,122,1,6,3.5,2840000
1996,5,30,36.103924,59.283105,9,32.864741,59.220828,8,480,346,3,2,4,6500000
1996,5,13,36.220023,57.676623,9,30.240491,57.058036,25,836,591,0,0,15,7000000
1996,2,31,31.327109,48.677348,11,35.705457,51.398258,7,820,589,3,7,25,20400000
1996,3,25,36.284679,52.876517,19,34.09639,49.696165,20,504,375,2,0,10,4750000
1996,5,31,36.14734,49.226164,12,32.638307,51.361415,3,526,381,3,2,22,7800000
1996,3,14,30.422166,51.388092,15,35.701668,51.40166,7,848,642,0,0,10.25,7895000
1996,6,14,33.859732,58.522225,8,33.597064,56.922318,8,228,165,1,6,2,1500000
1996,2,8,27.623821,52.994243,15,35.702135,51.401844,7,1282,906,2,0,7.75,7395000
1996,6,10,31.072423,52.770732,15,27.329585,53.176547,15,642,479,1,6,4,2510000
1996,6,17,36.127794,59.008389,9,36.300906,59.604119,9,111,82,1,6,1,1200000
1996,2,24,31.481811,48.876711,11,38.073575,46.284108,0,1117,841,1,5,2,6300000
1996,6,5,27.155192,57.07342,21,31.88193,54.370314,30,748,507,3,4,14.67,10000000
1996,3,21,35.657435,51.054611,7,34.795065,48.51548,22,295,200,1,8,5,2400000
1996,1,24,37.471974,57.331976,10,29.61256,52.542863,15,1342,959,3,7,23,15740000
1996,2,14,28.673365,57.742583,25,35.7024,51.406295,7,1209,783,3,8,12.76,15000000
1996,6,14,35.661912,51.063242,7,31.320348,48.680104,11,803,563,1,6,4,7850000
1996,5,29,30.668354,51.594361,27,31.160705,52.642402,15,213,196,2,0,2,2460000
1996,3,28,36.475069,52.866552,19,31.88842,54.365095,30,757,568,0,0,13,7500000
1996,1,15,36.981469,56.281942,10,35.703326,51.394586,7,581,407,2,0,10,3073000
1996,3,18,35.308869,50.5043,20,34.323305,47.073108,26,405,290,0,0,15,5600000
1996,5,8,37.278518,49.578257,29,35.706027,51.403959,7,331,254,3,7,20.13,7000000
1996,2,16,32.676398,51.664766,3,36.294285,59.607403,9,1153,769,1,1,2,3200000
1996,1,9,35.695591,51.396651,7,29.611949,52.537867,15,931,614,0,0,14.63,7608000
1996,5,25,38.556597,44.950694,1,38.075732,46.288286,0,164,141,1,6,2,2399000
1996,4,10,28.746923,54.553587,15,29.130079,54.036565,15,83,86,3,3,23.98,3400000
1996,5,12,35.701744,51.40672,7,36.564388,53.056551,19,275,242,1,6,2.25,2725000
1996,2,26,35.343251,48.36794,22,34.794813,48.511926,22,80,73,3,3,24,2400000
1996,4,24,32.805684,50.850172,3,36.502479,51.15078,19,692,529,2,0,10,11500000
1996,5,5,29.609628,52.543123,15,35.95986,50.690193,4,1002,664,0,0,15,7390000
1996,6,24,29.772976,52.71873,15,29.614583,51.650003,15,167,142,1,6,2.5,1170000
1996,3,7,30.334966,50.900829,27,29.611562,52.535714,15,245,220,2,3,10,5000000
1996,4,16,37.47044,57.325851,10,36.472353,52.352417,19,518,445,1,5,1.5,2640000
1996,2,10,36.294269,59.601713,9,36.21117,58.796203,9,139,106,2,0,6,1660000
1996,4,25,32.66648,51.667294,3,30.59083,50.245236,11,548,437,1,6,2,4400000
1996,2,20,36.070711,49.688111,16,36.276241,50.010424,16,43,41,2,0,10,1800000
1996,3,2,36.279897,50.00362,16,35.707201,51.394985,7,152,122,2,0,9.6,3248000
1996,4,20,35.719342,50.37209,4,32.326479,50.852358,23,513,356,1,6,3,4400000
1996,2,17,35.724068,50.816514,4,36.294454,59.610604,9,964,663,3,7,22,9000000
1996,3,24,36.654733,51.492796,19,27.186758,56.27905,21,1474,1040,3,2,4.02,13550000
1996,6,26,35.698904,51.407536,7,36.569273,53.053843,19,275,242,3,2,20,5900000
1996,6,8,33.986071,50.685153,20,38.081228,46.285824,0,719,485,1,5,3,3850000
1996,3,6,29.355277,51.076501,6,31.881367,54.357605,30,694,521,1,6,2.5,3000000
1996,6,21,31.487337,48.434717,11,30.596414,50.243811,11,243,187,1,5,2,1000000
1996,2,14,32.675661,51.663108,3,36.297322,59.602218,9,1153,769,1,5,2,4531000
1996,3,24,36.297768,59.601825,9,35.693932,51.39663,7,904,612,2,3,10,4280000
1996,3,9,29.604377,52.532222,15,31.324279,48.685114,11,529,436,3,8,19,16000000
1996,4,30,31.283485,49.60363,11,32.206352,48.24211,11,211,150,1,6,2,1200000
1996,6,28,31.165493,52.648986,15,30.080282,53.136017,15,159,115,3,2,22,4400000
1996,1,19,35.016181,50.359092,20,36.284595,50.004598,16,157,125,2,0,6.59,3500000
1996,4,17,30.237825,57.062133,25,28.303961,55.903115,21,323,221,3,2,25,5000000
1996,5,19,35.272409,59.217009,9,35.539146,59.197815,9,39,38,1,1,3,600000
1996,6,19,31.135238,53.255328,30,32.67392,51.667634,3,289,205,3,3,24.97,3643000
1996,2,3,35.809064,51.014066,4,29.611567,52.541753,15,963,626,3,2,15,8400000
1996,3,22,30.078303,53.14277,15,36.299419,59.607019,9,1246,861,0,0,10,12660000
1996,2,18,32.67455,51.66607,3,38.076584,46.283186,0,899,605,1,6,1.5,3365000
1996,2,18,37.255984,49.949896,29,32.670835,51.665802,3,658,471,0,0,15,8000000
1996,5,10,36.016286,50.597722,4,36.139474,49.217375,12,168,111,3,2,24,4896000
1996,3,22,33.887953,48.752392,18,29.603136,52.54204,15,807,577,0,0,15,9000000
1996,2,22,34.186202,48.376238,22,34.802768,48.520087,22,115,102,3,3,23,2658000
1996,2,27,27.48093,52.611338,6,31.329009,48.683304,11,680,486,3,4,24.96,12000000
1996,5,18,35.014783,50.354327,20,35.813428,51.002662,4,154,117,1,5,3,1996000
